id,nome,estado,nota_matematica,nota_linguagens,nota_ciencias,nota_redacao,ano
1,Diego Alves,SP,744.93,446.94,383.72,371.75,2021
2,Tatiane Moraes,SC,319.07,356.22,439.6,721.41,2022
3,Samuel Carvalho,SC,432.26,653.56,785.66,304.55,2022
4,Nicolas Pires,PR,466.72,429.19,758.1,371.55,2024
5,Diego Alves,PR,,662.24,784.28,810.81,2021
6,Mariana Freitas,RJ,631.22,erro,671.11,903.19,2022
7,Carla Mendes,SP,696.76,763.84,891.13,898.72,2021
8,Mariana Freitas,BA,572.05,800.47,397.59,548.69,2023
9,Carla Mendes,PE,680.99,620.48,446.89,623.58,2023
10,Samuel Carvalho,ES,710.77,805.71,765.6,460.33,2021
11,Karen Ribeiro,SC,460.64,426.59,865.75,913.46,2023
12,Gabriela Costa,RS,537.38,848.73,575.31,485.42,2022
13,Samuel Carvalho,GO,457.64,650.75,838.69,579.58,2022
14,Eduarda Rocha,GO,596.11,753.47,816.66,406.99,2022
15,Nicolas Pires,PE,338.12,528.97,897.67,670.38,2021
16,Diego Alves,GO,750.53,761.16,504.11,505.45,2022
17,Olivia Nogueira,SP,872.29,825.51,458.03,650.41,2022
18,Renata Batista,RJ,822.31,479.07,683.37,726.28,2022
19,Lucas Teixeira,MG,623.63,767.18,618.21,300.4,2023
20,Paulo Henrique,SP,367.12,517.79,891.19,864.74,2022
21,Bruno Lima,ES,826.81,868.17,351.39,640.19,2021
22,Samuel Carvalho,MG,377.03,585.17,629.88,485.54,2024
23,Gabriela Costa,GO,753.16,713.92,727.77,579.29,2023
24,Olivia Nogueira,GO,570.89,448.74,338.42,314.72,2022
25,Tatiane Moraes,ES,304.31,724.7,335.32,347.18,2021
26,Karen Ribeiro,RJ,608.49,467.09,591.25,677.46,2024
27,Henrique Barros,RS,,414.25,358.16,601.74,2024
28,Nicolas Pires,RS,818.3,332.5,692.07,752.33,2021
29,Mariana Freitas,PR,780.36,365.56,414.95,675.4,2022
30,Nicolas Pires,MG,,449.88,853.96,610.19,2021
31,Bruno Lima,GO,801.62,881.4,855.82,894.09,2022
32,Nicolas Pires,RS,588.82,818.79,841.47,415.25,2021
33,Mariana Freitas,BA,855.91,771.08,471.15,787.61,2024
34,Eduarda Rocha,ES,478.02,881.23,647.51,679.54,2023
35,Bruno Lima,SP,650.51,601.71,811.63,410.2,2021
36,Felipe Martins,RJ,657.02,705.13,441.12,383.92,2022
37,Tatiane Moraes,PE,323.84,349.19,694.42,695.66,2023
38,Isabela Duarte,ES,701.84,488.51,459.37,391.61,2023
