id,nome,estado,nota_matematica,nota_linguagens,nota_ciencias,nota_redacao,ano
1,Diego Alves,SP,744.93,446.94,383.72,371.75,2021-01-01
2,Tatiane Moraes,SC,319.07,356.22,439.6,721.41,2022-01-01
3,Samuel Carvalho,SC,432.26,653.56,785.66,304.55,2022-01-01
4,Nicolas Pires,PR,466.72,429.19,758.1,371.55,2024-01-01
7,Carla Mendes,SP,696.76,763.84,891.13,898.72,2021-01-01
8,Mariana Freitas,BA,572.05,800.47,397.59,548.69,2023-01-01
9,Carla Mendes,PE,680.99,620.48,446.89,623.58,2023-01-01
10,Samuel Carvalho,ES,710.77,805.71,765.6,460.33,2021-01-01
11,Karen Ribeiro,SC,460.64,426.59,865.75,913.46,2023-01-01
12,Gabriela Costa,RS,537.38,848.73,575.31,485.42,2022-01-01
13,Samuel Carvalho,GO,457.64,650.75,838.69,579.58,2022-01-01
14,Eduarda Rocha,GO,596.11,753.47,816.66,406.99,2022-01-01
15,Nicolas Pires,PE,338.12,528.97,897.67,670.38,2021-01-01
16,Diego Alves,GO,750.53,761.16,504.11,505.45,2022-01-01
17,Olivia Nogueira,SP,872.29,825.51,458.03,650.41,2022-01-01
18,Renata Batista,RJ,822.31,479.07,683.37,726.28,2022-01-01
19,Lucas Teixeira,MG,623.63,767.18,618.21,300.4,2023-01-01
20,Paulo Henrique,SP,367.12,517.79,891.19,864.74,2022-01-01
21,Bruno Lima,ES,826.81,868.17,351.39,640.19,2021-01-01
22,Samuel Carvalho,MG,377.03,585.17,629.88,485.54,2024-01-01
23,Gabriela Costa,GO,753.16,713.92,727.77,579.29,2023-01-01
24,Olivia Nogueira,GO,570.89,448.74,338.42,314.72,2022-01-01
25,Tatiane Moraes,ES,304.31,724.7,335.32,347.18,2021-01-01
26,Karen Ribeiro,RJ,608.49,467.09,591.25,677.46,2024-01-01
28,Nicolas Pires,RS,818.3,332.5,692.07,752.33,2021-01-01
29,Mariana Freitas,PR,780.36,365.56,414.95,675.4,2022-01-01
31,Bruno Lima,GO,801.62,881.4,855.82,894.09,2022-01-01
32,Nicolas Pires,RS,588.82,818.79,841.47,415.25,2021-01-01
33,Mariana Freitas,BA,855.91,771.08,471.15,787.61,2024-01-01
34,Eduarda Rocha,ES,478.02,881.23,647.51,679.54,2023-01-01
35,Bruno Lima,SP,650.51,601.71,811.63,410.2,2021-01-01
36,Felipe Martins,RJ,657.02,705.13,441.12,383.92,2022-01-01
37,Tatiane Moraes,PE,323.84,349.19,694.42,695.66,2023-01-01
38,Isabela Duarte,ES,701.84,488.51,459.37,391.61,2023-01-01
39,Olivia Nogueira,PR,857.41,861.44,305.59,734.81,2021-01-01
40,Carla Mendes,GO,427.89,459.12,859.96,916.6,2022-01-01
41,Lucas Teixeira,BA,394.65,800.25,722.12,728.17,2021-01-01
43,Samuel Carvalho,MG,463.41,662.9,730.57,442.52,2023-01-01
44,Renata Batista,RS,450.67,844.9,330.48,744.0,2023-01-01
46,Samuel Carvalho,SC,636.54,367.12,867.03,783.71,2022-01-01
47,Samuel Carvalho,SP,800.76,649.51,388.86,389.21,2023-01-01
48,Lucas Teixeira,SP,839.35,426.05,449.72,371.96,2024-01-01
49,Vinicius Araujo,MG,855.46,442.04,397.5,859.92,2022-01-01
51,Isabela Duarte,MG,772.42,364.86,823.3,901.02,2022-01-01
52,Gabriela Costa,RS,509.8,792.32,822.79,456.05,2022-01-01
53,Mariana Freitas,PR,467.16,341.65,764.0,545.8,2024-01-01
54,Samuel Carvalho,PR,863.54,369.21,882.24,425.0,2023-01-01
55,Bruno Lima,RJ,657.94,507.41,771.86,605.48,2021-01-01
56,Mariana Freitas,PE,414.05,326.63,561.63,663.94,2022-01-01
57,Lucas Teixeira,SC,341.98,698.54,498.12,519.74,2021-01-01
58,João Pedro,GO,485.57,545.04,541.44,506.96,2022-01-01
59,Gabriela Costa,SC,698.96,527.49,748.88,421.82,2023-01-01
60,Mariana Freitas,GO,800.24,482.32,426.11,850.03,2023-01-01
61,Olivia Nogueira,RS,565.3,428.22,583.91,930.83,2022-01-01
62,Carla Mendes,BA,609.27,679.76,501.11,872.9,2022-01-01
63,João Pedro,ES,783.94,388.41,327.73,988.76,2021-01-01
64,Olivia Nogueira,SC,831.68,645.4,731.01,568.78,2024-01-01
65,Henrique Barros,MG,693.63,303.33,750.58,839.03,2021-01-01
66,Nicolas Pires,ES,405.53,874.78,610.77,335.15,2022-01-01
67,Diego Alves,RS,380.0,578.79,618.68,691.25,2023-01-01
68,Olivia Nogueira,PE,789.0,835.21,556.04,934.8,2024-01-01
69,Felipe Martins,RS,570.04,751.07,803.92,494.12,2024-01-01
70,Henrique Barros,BA,563.92,728.13,440.7,535.09,2021-01-01
71,Eduarda Rocha,MG,438.76,716.37,723.85,344.96,2024-01-01
72,Karen Ribeiro,GO,579.55,337.36,799.73,572.63,2021-01-01
73,Tatiane Moraes,SC,586.19,865.64,479.17,572.99,2024-01-01
74,Samuel Carvalho,GO,779.92,838.69,592.94,491.05,2024-01-01
